Experimento,Rank-1 (%),EER (%),TAR @ FAR=1% (%),TAR @ FAR=0.1% (%)
ORL original,100.0,0.01,100.0,100.0
CLAHE x2 — CE,97.5,2.64,92.99,81.94
SR x2 — CE,97.5,0.46,99.86,97.64
CLAHE x4 — CE,55.0,0.21,100.0,99.58
SR x4 — CE,82.5,0.83,99.24,95.49
CLAHE x2 — ArcFace,92.5,0.01,100.0,100.0
SR x2 — ArcFace,97.5,0.0,100.0,100.0
CLAHE x4 — ArcFace,85.0,0.0,100.0,100.0
SR x4 — ArcFace,95.0,0.14,100.0,99.86
SR x4 — AdamW,92.5,0.3,99.93,99.44
